time,temperature
0.0,80.08266070823052
0.5,73.06161705650443
1.0,74.50430136036144
1.5,80.31614984048888
2.0,76.09920815154209
2.5,75.95243638923885
3.0,79.13559879851607
3.5,78.8425180866692
4.0,80.64501153208609
4.5,78.59150609974155
5.0,81.53823525730715
5.5,82.85405672439126
6.0,79.76472045943763
6.5,83.08704196438228
7.0,83.33084832393672
7.5,85.21354878902712
8.0,83.33759742085695
8.5,82.34651783395555
9.0,80.42418602538152
9.5,82.39413244812309
10.0,84.55094858381395
10.5,83.67191546597901
11.0,81.47892837905152
11.5,83.74047386513868
12.0,85.67985170979257
12.5,86.79176470118587
13.0,82.33305864393276
13.5,84.5259689201585
14.0,88.1680483931271
14.5,88.53690207964914
15.0,87.0115393998434
15.5,86.99071883404528
16.0,89.09525471507303
16.5,88.51111155205564
17.0,90.07624596453846
17.5,85.72901184638056
18.0,87.66492068146249
18.5,90.23703211491237
19.0,90.40915848300162
19.5,89.64198877786228
20.0,88.4439451952745
20.5,89.5947779041679
21.0,88.60112778298227
21.5,92.98962087777156
22.0,89.27819414505811
22.5,87.68173188716122
23.0,89.40927662723936
23.5,89.94161315673666
24.0,93.43304228013301
24.5,93.0208694520255
25.0,95.57783288326475
25.5,92.22922478826976
26.0,91.38689793766733
26.5,94.1373327995204
27.0,96.94268251069502
27.5,88.5589607618685
28.0,93.64186903127526
28.5,96.11966971166828
29.0,90.7542617072979
29.5,93.40016931613201
30.0,96.73345542069437
30.5,93.30062598257561
31.0,94.59861992697762
31.5,93.73515153657857
32.0,97.3097080942536
32.5,99.3311102173515
33.0,98.72983328180165
33.5,97.74614025984567
34.0,95.94137945866353
34.5,98.11181285076
35.0,98.05101075056896
35.5,100.57064460042453
36.0,98.8940799014628
36.5,99.14079400771625
37.0,100.44152183724833
37.5,98.75920790836385
38.0,100.42749579870389
38.5,98.63399507034941
39.0,100.93334719781433
39.5,97.90784059613118
40.0,99.98499344031795
40.5,101.1393627042041
41.0,97.88068982763109
41.5,103.43727194250354
42.0,102.36027628150674
42.5,101.85065397197533
43.0,101.06376266761444
43.5,101.61555315645423
44.0,107.46905825978888
44.5,101.88727496403779
45.0,105.14347216391275
45.5,102.29599977574098
46.0,103.32931090951381
46.5,105.35929683306317
47.0,106.93964815755706
47.5,105.15492172292653
48.0,108.54631962217012
48.5,104.41276706871284
49.0,106.45759438306415
49.5,105.36077515231887
50.0,106.38570595684953
50.5,108.51974435438005
51.0,109.19531869093021
51.5,106.43313761943168
52.0,109.02455638077693
52.5,106.69356031943006
53.0,105.73216168324474
53.5,106.38588539045038
54.0,104.42495531420035
54.5,109.6136153583707
55.0,109.56182584322278
55.5,108.8897345538773
56.0,109.01723123558192
56.5,109.97321438596371
57.0,107.63992179724323
57.5,111.22817148222994
58.0,107.79223777380864
58.5,113.94477367918708
59.0,109.91765566049129
59.5,110.4241515455508
60.0,111.7277844411767
60.5,111.40832261010453
61.0,113.99284052994831
61.5,117.2470995499925
62.0,116.09488298224971
62.5,115.00302613660847
63.0,117.54689652545117
63.5,112.98560468198053
64.0,115.5868859037205
64.5,113.69023016613299
65.0,114.76378031135826
65.5,115.08887449466465
66.0,114.98095564371543
66.5,117.27282212434665
67.0,116.35670958129393
67.5,115.59380360771623
68.0,118.07267306591973
68.5,120.32806423901215
69.0,117.3691679718502
69.5,118.72076032651198
70.0,117.91552027249975
70.5,118.40161210428005
71.0,116.67362040441728
71.5,119.4698955871017
72.0,118.05262322059973
72.5,120.01442897368165
73.0,120.8839065620953
73.5,121.14102144303105
74.0,121.7671950108323
74.5,118.62294685317512
75.0,120.79384813269445
75.5,119.32315812540361
76.0,117.67979927626138
76.5,123.04504650621993
77.0,120.47997880261416
77.5,121.55725393569564
78.0,122.74406880648365
78.5,120.53753860223648
79.0,123.71952535945233
79.5,123.66678857157179
80.0,121.88213581407506
80.5,125.19600903663739
81.0,124.36188637523516
81.5,123.0631030482796
82.0,125.79648826423643
82.5,127.85875605909688
83.0,127.95085593911794
83.5,125.23010169956659
84.0,126.20012485813754
84.5,125.99788817447428
85.0,124.54014071418281
85.5,127.2966509882513
86.0,126.39541534837596
86.5,125.95291541964417
87.0,126.47237756128344
87.5,125.59154443770666
88.0,124.75329695970005
88.5,129.71704853278703
89.0,128.58522234092024
89.5,127.00132022201196
90.0,130.49135911622378
90.5,130.47265915236426
91.0,128.83100197216385
91.5,130.8133265609189
92.0,130.40082467068927
92.5,130.4860162259613
93.0,129.711625249419
93.5,129.70120025499136
94.0,130.71611973576796
94.5,130.74172819959907
95.0,131.93853738599807
95.5,135.0258539431038
96.0,128.6491310746092
96.5,133.9640363485507
97.0,134.87070901648667
97.5,134.04803155023927
98.0,127.61456918078206
98.5,132.27679572602378
99.0,137.3528216864559
99.5,134.59006029332443
100.0,133.93568905196418
100.5,136.1905735572889
101.0,132.86789027925548
101.5,133.6237405484518
102.0,136.85347988033334
102.5,135.0427692285703
103.0,134.2620781866197
103.5,132.94299056557603
104.0,136.28787056961556
104.5,136.99102049307353
105.0,135.75295978006972
105.5,137.0684697392753
106.0,140.41381211799012
106.5,138.97110126731826
107.0,138.4054510078893
107.5,136.00591216039518
108.0,139.38012883861234
108.5,139.02412760565267
109.0,136.94839192821286
109.5,140.52319107261198
110.0,139.88113293657517
110.5,138.13113814750136
111.0,139.90518568792183
111.5,139.91951335350353
112.0,139.5070317599667
112.5,139.32530478902794
113.0,141.41711169664325
113.5,140.06084080675384
114.0,139.8987765748665
114.5,141.57773873384127
115.0,140.96472091476653
115.5,141.9852537057038
116.0,142.69543763419546
116.5,142.97806848347668
117.0,139.87845003896186
117.5,143.69913652064065
118.0,144.03249188537117
118.5,139.91761157127462
119.0,142.80897519994676
119.5,143.7705275706923
120.0,145.04094692704575
120.5,144.87250791478596
121.0,143.59573465159053
121.5,144.85137443293502
122.0,144.54449176532904
122.5,145.59506137362118
123.0,146.52028220519452
123.5,144.12675322372286
124.0,144.35446000530197
124.5,147.2270650933538
125.0,148.0121753285115
125.5,145.44912616217002
126.0,148.4199345104091
126.5,147.51017291021526
127.0,149.19667919753448
127.5,145.24491981968777
128.0,150.25171330975618
128.5,148.44683935724507
129.0,150.23060473002886
129.5,148.79651898215008
130.0,148.11997348002427
130.5,149.76765667247236
131.0,149.2878314766487
131.5,151.126502584816
132.0,146.92493728875684
132.5,148.384418909117
133.0,150.15547042442205
133.5,147.39396056253713
134.0,153.47103601390114
134.5,148.20968563002927
135.0,152.02917830328346
135.5,152.58159721245661
136.0,151.99108157277362
136.5,151.21581421346923
137.0,152.48685246775946
137.5,154.31460224744734
138.0,153.1523393864916
138.5,153.29192160743307
139.0,153.56602103228565
139.5,151.81936379580787
140.0,155.59769876421183
140.5,154.66834327015897
141.0,151.74433157239832
141.5,156.73564215380043
142.0,154.3907804766336
142.5,153.27062870107181
143.0,153.98058870825685
143.5,151.82023192858486
144.0,153.96435891836154
144.5,156.67912182753565
145.0,156.89952869601956
145.5,154.87315096488234
